query,mean_atf,mean_delta_unconstrained,mean_j_eta,mean_ridi_unconstrained,mean_ridi_controlled,mean_utility_regret,n_nonzero_cells
UMLS:C0064322,0.8158411033411034,13.833333333333334,2.0,0.07293396830677022,0.017386324571430762,0.0005850628854746374,6
UMLS:C0064717,0.8687891737891738,21.833333333333332,2.1666666666666665,0.08416852640253225,0.011581732784107278,0.0008616182165453126,6
UMLS:C0065041,0.7179345563361957,30.833333333333332,8.5,0.12144114478945517,0.03657710832010277,0.0007836686694045559,6
UMLS:C0065081,0.6099591230026012,26.166666666666668,7.5,0.08969305254057398,0.034325272324215485,0.0009238310318253937,6
UMLS:C0065636,0.6839151228819155,22.666666666666668,4.833333333333333,0.09315078559797606,0.032125441084735716,0.0007698735572099017,6
UMLS:C0067942,1.0,13.833333333333334,0.0,0.06245701174714286,0.0,0.0006480221027036058,6
UMLS:C0068232,0.7365462019873784,24.166666666666668,5.5,0.10670756449439323,0.03130914108516723,0.0006763485025141331,6
UMLS:C0068992,0.0016691731842152964,532.5,531.1666666666666,0.999582790936488,0.998747117542099,0.0005227813279614966,6
UMLS:C0069809,0.8859970438917807,21.833333333333332,2.6666666666666665,0.0892662558055331,0.010589946745762434,0.0005835276750854445,6
UMLS:C0070760,1.0,15.666666666666666,0.0,0.07569078818017579,0.0,0.00038830269464762396,6
UMLS:C0071687,0.9940476190476191,17.5,0.16666666666666666,0.07596247459056832,0.000665335994677312,0.0005435136716585718,6
UMLS:C0071710,0.9574796350602802,20.833333333333332,1.1666666666666667,0.10044204459630844,0.003324029232371909,0.0006453553491089017,6
UMLS:C0072184,0.9944444444444445,15.166666666666666,0.16666666666666666,0.056590791280833386,0.000333000333000333,0.0004114826823841165,6
UMLS:C0072494,0.9607246376811593,21.833333333333332,1.6666666666666667,0.08862402496542619,0.0033062411655077665,0.0005639263535777779,6
UMLS:C0072657,0.8863095238095239,18.0,1.8333333333333333,0.07541374178550357,0.00992137982646782,0.0004962814684580387,6
UMLS:C0073002,1.0,14.166666666666666,0.0,0.06128855934662094,0.0,0.00037837396816036757,6
UMLS:C0073384,0.8315544608648057,27.0,6.5,0.10109821452654655,0.01676588468840037,0.0005393910808627422,6
UMLS:C0073647,0.9795548654244306,19.833333333333332,0.8333333333333334,0.07795582454504983,0.0016610215813403063,0.00044715958764259835,6
UMLS:C0073898,0.8983901087316647,19.833333333333332,2.8333333333333335,0.08525846862029669,0.007616035512426022,0.000714985183023651,6
UMLS:C0074460,0.9550189198486412,23.166666666666668,1.8333333333333333,0.07587147176075254,0.004310470781580675,0.0006195560075872154,6
UMLS:C0074500,0.806298324902976,21.0,5.833333333333333,0.08052616180441434,0.01450063721993256,0.0006704370795131612,6
UMLS:C0074727,0.7892157882966706,22.0,3.8333333333333335,0.09249644984679273,0.021680957972182325,0.000643298572219758,6
UMLS:C0075630,0.8274191086691087,24.833333333333332,4.5,0.09956645273480395,0.01751040883502197,0.0006087763625681556,6
UMLS:C0075870,0.8534475603210138,26.166666666666668,4.166666666666667,0.11012095144438246,0.01652458865315661,0.0007731798600134655,6
UMLS:C0076741,0.9051263252876156,15.166666666666666,2.0,0.05471034660978011,0.005641123040337245,0.0006089541474186049,6
UMLS:C0078792,0.7807382133995038,21.0,3.0,0.08370526142860484,0.01970080308446313,0.000658354130900599,6
UMLS:C0090532,0.7827199061442759,29.833333333333332,7.0,0.09653353739906045,0.022028862131967548,0.0006474285991366044,6
UMLS:C0099122,0.8613725686517949,20.833333333333332,2.1666666666666665,0.08052488120378364,0.011910110127940401,0.0006019233033880237,6
UMLS:C0106751,0.8791261420571765,19.833333333333332,2.8333333333333335,0.08228823072521825,0.010258934470503217,0.0007633081109945421,6
UMLS:C0108454,0.7222752737458621,16.833333333333332,3.1666666666666665,0.08099441066871566,0.02505991426587841,0.0006866622794560956,6
UMLS:C0109265,0.8101851851851852,18.5,5.0,0.07643836184557465,0.012871642680973855,0.0006067607108622676,6
UMLS:C0117080,0.8214649470899471,27.333333333333332,4.5,0.10496946593496324,0.020083372504774953,0.0007880215786617786,6
UMLS:C0117428,0.8298820141211446,21.0,3.8333333333333335,0.09325958251953903,0.015867808498164975,0.0005491794698561078,6
UMLS:C0118642,0.9550035353840108,20.5,1.1666666666666667,0.08495272635836865,0.003323366549098376,0.0005409722312943102,6
UMLS:C0119053,0.9838206627680313,23.166666666666668,0.6666666666666666,0.0851720972415873,0.001330671989354624,0.0006186995399430574,6
UMLS:C0138404,0.7515711035520279,28.666666666666668,7.166666666666667,0.0968933508842016,0.025005119816644213,0.0006884816894305828,6
UMLS:C0142690,0.9778503994190269,16.5,0.5,0.0788709635305206,0.001331336660677978,0.0005401142913728235,6
UMLS:C0143993,0.8586693425773886,17.833333333333332,2.1666666666666665,0.07610227313939703,0.011250059805703835,0.0007831494380917101,6
UMLS:C0145993,0.8278174436831951,20.0,2.0,0.0909145949485779,0.02022677906141315,0.0005690211229423117,6
UMLS:C0175163,0.8754568713450293,17.5,3.3333333333333335,0.06321653970939968,0.00794639686775077,0.0005417541102380991,6
UMLS:C0205704,0.8050211005608308,21.666666666666668,4.0,0.10594931108230377,0.022984089751943867,0.0006751290689982319,6
