original_name,rxcui,rxnorm_name,tty,ingredient_rxcui,ingredient_name,atc_rxclass_level4,atc_chembl_level5,chembl_id,drugbank_id,degree,pair_share_pct,resolution_status,notes
pregabalin,187832,pregabalin,IN,187832,pregabalin,N02BF,N02BF02,CHEMBL1059,DB00230,6,0.73,resolved_exact,
quetiapine,51272,quetiapine,IN,51272,quetiapine,N05AH,N05AH04,CHEMBL716,DB01224,3,0.36,resolved_exact,
raloxifene,72143,raloxifene,IN,72143,raloxifene,G03XC,G03XC01,CHEMBL81,DB00481,5,0.6,resolved_exact,
raltegravir,719872,raltegravir,IN,719872,raltegravir,J05AJ,J05AJ01,CHEMBL254316,DB06817,12,1.45,resolved_exact,
ramipril,35296,ramipril,IN,35296,ramipril,C09AA;C09BB,C09AA05,CHEMBL1168,DB00178,7,0.85,resolved_exact,
ranitidine,9143,ranitidine,IN,9143,ranitidine,A02BA,A02BA02,CHEMBL1790041,DB00863,5,0.6,resolved_exact,
risperidone,35636,risperidone,IN,35636,risperidone,N05AX,N05AX08,CHEMBL85,DB00734,3,0.36,resolved_exact,
ropinirole,72302,ropinirole,IN,72302,ropinirole,N04BC,N04BC04,CHEMBL589,DB00268,5,0.6,resolved_exact,
rosuvastatin,301542,rosuvastatin,IN,301542,rosuvastatin,C10AA;C10BA,C10AA07,CHEMBL1496,DB01098,4,0.48,resolved_exact,
salbutamol,435,albuterol,IN,435,albuterol,R03AC;R03CC,R03AC02;R03CC02,CHEMBL714,DB01001,4,0.48,resolved_nomenclature_variant,INN form; RxNorm/USAN preferred term is 'albuterol'
salmeterol,36117,salmeterol,IN,36117,salmeterol,R03AC;R03AK,R03AC12,CHEMBL1263,DB00938,5,0.6,resolved_exact,
sertraline,36437,sertraline,IN,36437,sertraline,N06AB,N06AB06,CHEMBL809,DB01104,2,0.24,resolved_exact,
sevelamer,214824,sevelamer,IN,214824,sevelamer,V03AE,V03AE02,CHEMBL5314349,,152,18.38,resolved_exact,no DrugBank ID via UniChem (structure-keyed lookup not applicable: molecule type Small molecule)
sildenafil,136411,sildenafil,IN,136411,sildenafil,G04BE,G04BE03,CHEMBL192,DB00203,4,0.48,resolved_exact,
simvastatin,36567,simvastatin,IN,36567,simvastatin,A10BH;C10AA;C10BA,C10AA01,CHEMBL1064,DB00641,2,0.24,resolved_exact,
sitagliptin,593411,sitagliptin,IN,593411,sitagliptin,A10BD;A10BH,A10BH01,CHEMBL1422,DB01261,8,0.97,resolved_exact,
solifenacin,322167,solifenacin,IN,322167,solifenacin,G04BD,G04BD08,CHEMBL1734,DB01591,6,0.73,resolved_exact,
spironolactone,9997,spironolactone,IN,9997,spironolactone,C03DA,C03DA01,CHEMBL1393,DB00421,2,0.24,resolved_exact,
sumatriptan,37418,sumatriptan,IN,37418,sumatriptan,N02CC,N02CC01,CHEMBL128,DB00669,7,0.85,resolved_exact,
tadalafil,358263,tadalafil,IN,358263,tadalafil,C02KX;G04BE;G04CB,G04BE08,CHEMBL779,DB00820,3,0.36,resolved_exact,
temazepam,10355,temazepam,IN,10355,temazepam,N05CD,N05CD07,CHEMBL967,DB00231,2,0.24,resolved_exact,
terazosin,37798,terazosin,IN,37798,terazosin,G04CA,G04CA03,CHEMBL611,DB01162,3,0.36,resolved_exact,
tetracycline,10395,tetracycline,IN,10395,tetracycline,A01AB;A02BD;D06AA;J01AA;J01RA;S01AA;S02AA;S03AA,D06AA04;S03AA02;S01AA09;S02AA08;A01AB13;J01AA07,CHEMBL1440,DB00759,7,0.85,resolved_exact,
tizanidine,57258,tizanidine,IN,57258,tizanidine,M03BX,M03BX02,CHEMBL1079,DB00697,4,0.48,resolved_exact,
tramadol,10689,tramadol,IN,10689,tramadol,N02AJ;N02AX,N02AX02,CHEMBL1237044,DB00193,5,0.6,resolved_exact,
trazodone,10737,trazodone,IN,10737,trazodone,N06AX,N06AX05,CHEMBL621,DB00656,2,0.24,resolved_exact,
triamcinolone,10759,triamcinolone,IN,10759,triamcinolone,A01AC;C05AA;D07AB;D07XB;H02AB;R01AD;R03BA;S01BA,H02AB08;R03BA06;R01AD11;D07XB02;S01BA05;C05AA12;D07AB09;A01AC01,CHEMBL1451,DB00620,5,0.6,resolved_exact,
triamterene,10763,triamterene,IN,10763,triamterene,C03DB,C03DB02,CHEMBL585,DB00384,6,0.73,resolved_exact,
ustekinumab,847083,ustekinumab,IN,847083,ustekinumab,L04AC,L04AC05,CHEMBL1201835,,140,16.93,resolved_exact,no DrugBank ID via UniChem (structure-keyed lookup not applicable: molecule type Antibody)
valganciclovir,275891,valganciclovir,IN,275891,valganciclovir,J05AB,J05AB14,CHEMBL1201314,DB01610,13,1.57,resolved_exact,
valproate,40254,valproate,IN,40254,valproate,N03AG,N03AG01,CHEMBL109,DB00313,4,0.48,resolved_exact,
vardenafil,306674,vardenafil,IN,306674,vardenafil,G04BE,G04BE09,CHEMBL1520,DB00862,5,0.6,resolved_exact,
venlafaxine,39786,venlafaxine,IN,39786,venlafaxine,N06AX,N06AX16,CHEMBL637,DB00285,4,0.48,resolved_exact,
warfarin,11289,warfarin,IN,11289,warfarin,B01AA,B01AA03,CHEMBL1464,DB00682,3,0.36,resolved_exact,
zaleplon,74667,zaleplon,IN,74667,zaleplon,N05CF,N05CF03,CHEMBL1521,DB00962,6,0.73,resolved_exact,
zolmitriptan,135775,zolmitriptan,IN,135775,zolmitriptan,N02CC,N02CC03,CHEMBL1185,DB00315,9,1.09,resolved_exact,
zolpidem,39993,zolpidem,IN,39993,zolpidem,N05CF,N05CF02,CHEMBL911,DB00425,3,0.36,resolved_exact,
zopiclone,40001,zopiclone,IN,40001,zopiclone,N05CF,N05CF01,CHEMBL135400,DB01198,2,0.24,resolved_exact,
