pair_id,drug_a,drug_b,faers_coreports,faers_expected,obs_exp_ratio,min_detectable_ror,evidence_tier,n_anchor_drugs,both_pk_inert,excluded_clinical,name_defect_v1,faers_reports_a,faers_reports_b,rxcui_a,atc_a,drugbank_a,chembl_a,rxcui_b,atc_b,drugbank_b,chembl_b,n_ae_terms_tested,median_upper95_ror,p95_upper95_ror,max_upper95_ror,frac_terms_equiv_ror1.5,frac_terms_equiv_ror2.0,frac_terms_equiv_ror3.0,gold_d3r_testable,gold_d3r_flagged,label_screen,label_evidence,d3_mechanism_hypotheses,d3_hypothesis_types,knowledge_state,recommended_use,paper5_role,clinical_anchor_status,clinical_anchor_type,clinical_anchor_source,clinical_anchor_locator,clinical_anchor_summary,clinical_anchor_concordance
ADDI2-0031,dextromethorphan,naproxen,21095.0,545.3231625925575,38.68348430261213,1.3,T1_wellpowered,1,False,False,True,65230,169947,3289.0,N06AX;R05DA,DB00514,CHEMBL52440,7258.0,G02CC;M01AE;M02AA;N02CC,DB00788,CHEMBL154,447.0,0.9276588682569906,2.462822202459308,6.095935578791852,0.796420581655481,0.901565995525727,0.9821029082774048,False,False,no_label_signal,,0,,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0032,atorvastatin,atenolol,20628.0,3461.880383253622,5.958611423949008,1.3,T1_wellpowered,1,False,False,False,508884,138293,83367.0,C10AA;C10BA;C10BX,DB01076,CHEMBL1487,1202.0,C07AB;C07FB,DB00335,CHEMBL24,441.0,1.1839864248384646,2.2153071378967675,3.4976675736692373,0.7755102040816326,0.927437641723356,0.9909297052154196,True,False,no_label_signal,,3,transporter_inhibitor;biological_process;pharmacogenetic,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,development,NOT_ANCHORED,,,,,
ADDI2-0033,hydrocodone,omeprazole,19319.0,5086.101090115761,3.798390880893855,1.35,T1_wellpowered,1,False,False,False,224891,459748,5489.0,N02AJ;R05DA,DB00956,CHEMBL1457,7646.0,A02BC;A02BD,DB00338,CHEMBL1503,450.0,1.4772250558608402,3.260779395667578,8.056369558582992,0.52,0.76,0.9333333333333332,True,False,no_label_signal,,2,pk_inhibitor;pk_inducer,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,confirmatory,NOT_ANCHORED,,,,,
ADDI2-0034,atenolol,omeprazole,17800.0,3127.613724228088,5.691239893888475,1.35,T1_wellpowered,1,False,False,False,138293,459748,1202.0,C07AB;C07FB,DB00335,CHEMBL24,7646.0,A02BC;A02BD,DB00338,CHEMBL1503,462.0,1.1929271814948637,1.891408208459567,3.57791040833007,0.7857142857142857,0.9588744588744588,0.9956709956709956,True,False,no_label_signal,,2,transporter_inhibitor;pharmacogenetic,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,confirmatory,NOT_ANCHORED,,,,,
ADDI2-0035,simvastatin,atenolol,16834.0,1845.5756416276104,9.12127339584636,1.35,T1_wellpowered,1,False,False,False,271293,138293,36567.0,A10BH;C10AA;C10BA,DB00641,CHEMBL1064,1202.0,C07AB;C07FB,DB00335,CHEMBL24,447.0,1.2532137567606048,2.120720336237017,4.162454710631351,0.7136465324384788,0.9261744966442952,0.9910514541387024,True,False,no_label_signal,,3,transporter_inhibitor;biological_process;pharmacogenetic,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,development,NOT_ANCHORED,,,,,
ADDI2-0036,metformin,atenolol,15737.0,3095.8714531638348,5.083221392773763,1.35,T1_wellpowered,1,False,False,False,455082,138293,6809.0,A10BA;A10BD,DB00331,CHEMBL1431,1202.0,C07AB;C07FB,DB00335,CHEMBL24,451.0,1.1735225986344788,2.4205755892292835,4.811389900451583,0.7871396895787139,0.8980044345898004,0.9866962305986696,True,False,no_label_signal,,2,transporter_inhibitor;pharmacogenetic,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,confirmatory,NOT_ANCHORED,,,,,
ADDI2-0037,atenolol,acetaminophen,15293.0,5352.885704728443,2.856963672228422,1.35,T1_wellpowered,1,False,False,False,138293,786855,1202.0,C07AB;C07FB,DB00335,CHEMBL24,161.0,N02AJ;N02BE,DB00316,CHEMBL112,420.0,1.4682964019952405,3.2604947272816247,13.073795943524985,0.5095238095238095,0.7404761904761905,0.930952380952381,True,False,no_label_signal,,2,transporter_inhibitor;pharmacogenetic,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,confirmatory,NOT_ANCHORED,,,,,
ADDI2-0038,hydrocodone,furosemide,14764.0,4485.567946794106,3.291444957500203,1.4,T1_wellpowered,1,False,False,False,224891,405464,5489.0,N02AJ;R05DA,DB00956,CHEMBL1457,4603.0,C03CA;C03CB,DB00695,CHEMBL35,448.0,1.6353637262484444,3.650132140276095,10.52270086663189,0.4352678571428571,0.6741071428571429,0.8995535714285714,True,False,no_label_signal,,1,pk_inhibitor,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,confirmatory,NOT_ANCHORED,,,,,
ADDI2-0039,atenolol,losartan,11233.0,1549.7112801069431,7.248446948921239,1.45,T1_wellpowered,1,False,False,False,138293,227802,1202.0,C07AB;C07FB,DB00335,CHEMBL24,52175.0,C09CA,DB00678,CHEMBL191,459.0,1.300664034822122,2.0793832942790687,5.822991063708691,0.7342047930283224,0.9281045751633988,0.9847494553376906,True,False,no_label_signal,,1,transporter_inhibitor,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,confirmatory,NOT_ANCHORED,,,,,
ADDI2-0040,hydrocodone,metformin,10018.0,5034.482056022127,1.989876990030525,1.45,T1_wellpowered,1,False,False,False,224891,455082,5489.0,N02AJ;R05DA,DB00956,CHEMBL1457,6809.0,A10BA;A10BD,DB00331,CHEMBL1431,455.0,1.610208095567697,3.673901590857041,7.019400114714327,0.4241758241758241,0.6637362637362637,0.8923076923076924,True,False,no_label_signal,,0,,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,development,NOT_ANCHORED,,,,,
ADDI2-0041,citalopram,lisinopril,9995.0,2311.85858472618,4.323361327563132,1.45,T1_wellpowered,1,False,False,False,142007,330947,2556.0,N06AB,DB00215,CHEMBL549,29046.0,C09AA,,CHEMBL419213,452.0,1.1580472380848512,2.2778277268710143,4.58153126079171,0.7588495575221239,0.913716814159292,0.9889380530973452,False,False,no_label_signal,,0,,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0042,atenolol,pantoprazole,9591.0,2305.314749754963,4.16038634248076,1.5,T1_wellpowered,1,False,False,False,138293,338873,1202.0,C07AB;C07FB,DB00335,CHEMBL24,40790.0,A02BC,DB00213,CHEMBL1502,431.0,1.3624783628910817,3.094811569403824,6.555810863760931,0.6403712296983759,0.8167053364269141,0.9443155452436196,True,False,no_label_signal,,2,transporter_inhibitor;pharmacogenetic,ANTI_DDI_SUPPORTED,DEFAULT_BENCHMARK,confirmatory,NOT_ANCHORED,,,,,
