drug_a,drug_b,evidence_tier,faers_coreports,n_ae_terms_tested,median_upper95_ror,p95_upper95_ror,max_upper95_ror,frac_terms_equiv_delta1.5,frac_terms_equiv_delta2.0,frac_terms_equiv_delta3.0,involves_mega_hub
chlorpheniramine,dalteparin,T2_moderate,411.0,125,8.468317778819026,44.8404095789337,71.20274688329373,0.032,0.064,0.168,False
chlorpheniramine,enalapril,T2_moderate,508.0,175,2.6614086269814807,7.523150137928016,12.538608249652185,0.08571428571428572,0.3028571428571429,0.56,False
chlorpheniramine,nitroglycerin,T1_wellpowered,1494.0,411,2.280452958326551,5.685432221103885,16.327958702274124,0.22871046228710462,0.4209245742092457,0.6982968369829684,False
chlorpheniramine,hydrochlorothiazide,T1_wellpowered,3630.0,421,1.80449551960454,3.2614213982201274,5.555921028384087,0.32304038004750596,0.6080760095011877,0.9049881235154394,False
chlorpheniramine,lactulose,T1_wellpowered,872.0,226,2.0212374048950386,6.265822528301426,12.93919434280954,0.3185840707964602,0.4911504424778761,0.7477876106194691,False
chlorpheniramine,levofloxacin,T1_wellpowered,1067.0,244,2.157178889432335,8.308311618433459,29.605999275912882,0.26229508196721313,0.4672131147540984,0.6762295081967213,False
chlorpheniramine,moxifloxacin,T2_moderate,238.0,180,5.656405694840036,11.50772958850897,19.91258028201112,0.005555555555555556,0.03888888888888889,0.15,False
chlorpheniramine,nabumetone,T2_moderate,187.0,52,3.3159914317078023,6.378802650483971,6.9221504180827615,0.038461538461538464,0.11538461538461539,0.34615384615384615,False
chlorpheniramine,nitrofurantoin,T2_moderate,589.0,215,2.870047430535946,9.281260208126714,15.2414209621472,0.10697674418604651,0.21395348837209302,0.5348837209302325,False
chlorpheniramine,oseltamivir,T2_moderate,413.0,130,7.326185675571251,58.83816559594869,92.42213627804507,0.1,0.16153846153846155,0.26153846153846155,False
chlorpheniramine,penicillin v potassium,T3_limited,68.0,20,4.413011565482839,12.311481529460426,14.084397185342283,0.05,0.05,0.25,False
chlorpheniramine,raltegravir,T3_limited,69.0,24,8.33844872664228,13.785720416408369,16.464311676357386,0.0,0.0,0.0,False
chlorpheniramine,sevelamer,T2_moderate,134.0,26,3.470086593376071,7.335721501982244,7.377502700013234,0.07692307692307693,0.23076923076923078,0.4230769230769231,True
chlorpheniramine,sitagliptin,T2_moderate,723.0,184,2.2883693584197036,8.092500739974412,14.36723568951234,0.21739130434782608,0.4076086956521739,0.625,False
chlorpheniramine,triamterene,T2_moderate,439.0,153,2.7757697953849534,8.295391587484353,11.521377204839382,0.0457516339869281,0.21568627450980393,0.5490196078431373,False
chlorpheniramine,ustekinumab,T2_moderate,456.0,222,11.355606750077428,24.708345538072866,36.13609892070841,0.018018018018018018,0.03153153153153153,0.05855855855855856,True
chlorpheniramine,zolmitriptan,T2_moderate,102.0,21,3.2297825859380036,8.119544390302558,9.028058942853026,0.14285714285714285,0.19047619047619047,0.47619047619047616,False
cinacalcet,sevelamer,EXCLUDED_clinical,1987.0,309,2.844186281302238,6.171409909074587,11.942660485777973,0.1488673139158576,0.28802588996763756,0.5533980582524272,True
citalopram,zopiclone,T1_wellpowered,3704.0,370,1.411265524342836,5.503212357070728,43.59524638003161,0.5405405405405406,0.7054054054054054,0.8567567567567568,False
citalopram,cefuroxime,T2_moderate,397.0,120,3.0841866254802373,10.11504373445696,23.389593735986477,0.16666666666666666,0.3,0.48333333333333334,False
citalopram,acyclovir,T1_wellpowered,2852.0,397,1.5258694302753413,3.708284096520712,10.321954514923041,0.491183879093199,0.707808564231738,0.8967254408060453,False
citalopram,finasteride,T1_wellpowered,1191.0,265,1.941540549917941,5.473132932314881,10.720940265913654,0.33962264150943394,0.5132075471698113,0.7547169811320755,False
citalopram,perindopril,T1_wellpowered,1091.0,251,2.168683669039381,6.08506491539562,9.870425263202106,0.2908366533864542,0.4541832669322709,0.7211155378486056,False
citalopram,pemetrexed,T2_moderate,124.0,24,3.431188208616359,8.096271220680265,12.307817864838217,0.0,0.08333333333333333,0.4166666666666667,False
citalopram,conjugated estrogens,T1_wellpowered,1155.0,368,2.891009453319069,7.148306536170627,11.226085159892909,0.12771739130434784,0.27717391304347827,0.5217391304347826,False
citalopram,dicyclomine,T1_wellpowered,838.0,220,1.9141939357245743,5.363799359876756,6.804880420443995,0.3090909090909091,0.5545454545454546,0.7636363636363637,False
